Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,ID,CONDITION object-21 Response,CONDITION object-21 Quantised,1 object-6 Response,1 object-6 Quantised,2 object-7 Response,2 object-7 Quantised,3 object-8 Response,3 object-8 Quantised,4 object-9 Response,4 object-9 Quantised,5 object-10 Response,5 object-10 Quantised,6 object-11 Response,6 object-11 Quantised,7 object-12 Response,7 object-12 Quantised,8 object-13 Response,8 object-13 Quantised,9 object-14 Response,9 object-14 Quantised,10 object-15 Response,10 object-15 Quantised,11 object-16 Response,11 object-16 Quantised,12 object-17 Response,12 object-17 Quantised,13 object-18 Response,13 object-18 Quantised,14 object-19 Response,14 object-19 Quantised,15 object-20 Response,15 object-20 Quantised,total,3Sownership,3Slocation,3Sagency
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ID (tre prime lettere del tuo cognome, tre prime lettere del tuo nome e gli ultimi due numeri del tuo anno di nascita es. Giulia Brizzi 1997 → brigiu97):",CONDITION,CONDITION,..ho sentito come se il corpo virtuale fosse il mio corpo (ownership),..ho sentito come se il corpo virtuale fosse il mio corpo (ownership),..avevo la sensazione che stessi guardando me stesso (ownership),..avevo la sensazione che stessi guardando me stesso (ownership),..ho esperito che gamba del corpo virtuale come parte di me stesso (ownership),..ho esperito che gamba del corpo virtuale come parte di me stesso (ownership),..non ero consapevole del fatto che il mio corpo fosse diverso dal corpo virtuale (ownership),..non ero consapevole del fatto che il mio corpo fosse diverso dal corpo virtuale (ownership),"
..sentivo come se avessi più di un corpo (ownership)

","
..sentivo come se avessi più di un corpo (ownership)

",..sentivo me stesso in qualche modo connesso con il corpo virtuale (ownership),..sentivo me stesso in qualche modo connesso con il corpo virtuale (ownership),..sentivo come se il mio corpo stesse cambiando per prendere la forma del corpo virtuale (ownership),..sentivo come se il mio corpo stesse cambiando per prendere la forma del corpo virtuale (ownership),..avevo la sensazione che il corpo virtuale appartenesse a me(ownership),..avevo la sensazione che il corpo virtuale appartenesse a me(ownership),..avevo la sensazione che io e il corpo virtuale fossimo la stessa cosa (ownership),..avevo la sensazione che io e il corpo virtuale fossimo la stessa cosa (ownership),..avevo la sensazione come se stessi sentendo il tocco nel punto in cui il corpo virtuale era stato accarezzato (location),..avevo la sensazione come se stessi sentendo il tocco nel punto in cui il corpo virtuale era stato accarezzato (location),..sembrava che il tocco che avevo sentito fosse posizionato da qualche parte tra il mio corpo ed il corpo virtuale (location),..sembrava che il tocco che avevo sentito fosse posizionato da qualche parte tra il mio corpo ed il corpo virtuale (location),..avevo la sensazione che il tocco che avevo sentito fosse stato causato dal controller mentre toccava il corpo virtuale (location),..avevo la sensazione che il tocco che avevo sentito fosse stato causato dal controller mentre toccava il corpo virtuale (location),..avevo la sensazione di trovarmi nello stesso posto del corpo virtuale (location),..avevo la sensazione di trovarmi nello stesso posto del corpo virtuale (location),"..sentivo di poter muovere il corpo virtuale, se lo avessi voluto (agency)","..sentivo di poter muovere il corpo virtuale, se lo avessi voluto (agency)",..avevo la sensazione di avere il controllo sul corpo virtuale (agency),..avevo la sensazione di avere il controllo sul corpo virtuale (agency),,,,
1,1.71E+12,19/04/2024 12:07:51,1.71E+12,2,19/04/2024 16:07:51,0,0,,,37143615,,10951068,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,0,Embodiment,4,SANMAR94,3rd-SYNC,3,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,4,4,4,4,4,4,2,2,1,1,1,1,60,1.555555556,3.5,1
1,1.71E+12,19/04/2024 08:29:47,1.71E+12,2,19/04/2024 12:29:47,0,0,,,37139262,,10949649,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,0,Embodiment,4,cecsim01,3rd-SYNC,3,3,3,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,6,6,5,5,6,6,5,5,3,3,3,3,116,3.333333333,5.5,3
1,1.71E+12,17/04/2024 13:38:26,1.71E+12,2,17/04/2024 17:38:26,0,0,,,37089932,,10937793,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,0,Embodiment,4,LUCEST03,3rd-SYNC,3,3,3,4,4,2,2,3,3,3,3,5,5,4,4,4,4,4,4,7,7,6,6,6,6,4,4,3,3,4,4,124,3.555555556,5.75,3.5
1,1.71E+12,17/04/2024 12:43:20,1.71E+12,2,17/04/2024 16:43:20,0,0,,,37087452,,10937020,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1463x662,,,0,Embodiment,4,sajele87,3rd-SYNC,3,4,4,4,4,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,88,3.222222222,2.75,2
1,1.71E+12,16/04/2024 15:46:19,1.71E+12,2,16/04/2024 19:46:19,0,0,,,37063113,,10930035,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,0,Embodiment,4,gemand97,3rd-SYNC,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,1,1,1,66,1,5.5,1
1,1.71E+12,29/04/2024 08:26:31,1.71E+12,2,29/04/2024 12:26:31,0,0,,,37320338,,11005488,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,marreb02,3rd-SYNC,3,2,2,5,5,2,2,1,1,4,4,4,4,5,5,3,3,2,2,5,5,6,6,5,5,3,3,3,3,1,1,102,3.111111111,4.75,2
1,1.71E+12,29/04/2024 09:58:31,1.71E+12,2,29/04/2024 13:58:31,0,0,,,37322505,,11006116,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,maggiu98,3rd-SYNC,3,5,5,5,5,4,4,2,2,5,5,5,5,3,3,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,126,4.111111111,5,3
1,1.71E+12,30/04/2024 12:19:55,1.71E+12,2,30/04/2024 16:19:55,0,0,,,37354406,,11016136,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,fraant00,3rd-SYNC,3,2,2,2,2,2,2,1,1,2,2,3,3,1,1,1,1,1,1,3,3,1,1,4,4,5,5,2,2,2,2,64,1.666666667,3.25,2
1,1.71E+12,2/5/2024 11:18,1.71E+12,2,2/5/2024 15:18,0,0,,,37403860,,11030430,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,morgai02,3rd-SYNC,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,2,2,3,3,48,1,2.5,2.5
1,1.71E+12,3/5/2024 10:25,1.71E+12,2,3/5/2024 14:25,0,0,,,37432486,,11037594,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,fedgio01,3rd-SYNC,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,34,1,1.5,1
