Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,ID,CONDITION object-21 Response,CONDITION object-21 Quantised,1 object-6 Response,1 object-6 Quantised,2 object-7 Response,2 object-7 Quantised,3 object-8 Response,3 object-8 Quantised,4 object-9 Response,4 object-9 Quantised,5 object-10 Response,5 object-10 Quantised,6 object-11 Response,6 object-11 Quantised,7 object-12 Response,7 object-12 Quantised,8 object-13 Response,8 object-13 Quantised,9 object-14 Response,9 object-14 Quantised,10 object-15 Response,10 object-15 Quantised,11 object-16 Response,11 object-16 Quantised,12 object-17 Response,12 object-17 Quantised,13 object-18 Response,13 object-18 Quantised,14 object-19 Response,14 object-19 Quantised,15 object-20 Response,15 object-20 Quantised,Total,1Aownership ,1Alocation ,1Aagency
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ID (tre prime lettere del tuo cognome, tre prime lettere del tuo nome e gli ultimi due numeri del tuo anno di nascita es. Giulia Brizzi 1997 → brigiu97):",CONDITION,CONDITION,..ho sentito come se il corpo virtuale fosse il mio corpo (ownership),..ho sentito come se il corpo virtuale fosse il mio corpo (ownership),..avevo la sensazione che stessi guardando me stesso (ownership),..avevo la sensazione che stessi guardando me stesso (ownership),..ho esperito che gamba del corpo virtuale come parte di me stesso (ownership),..ho esperito che gamba del corpo virtuale come parte di me stesso (ownership),..non ero consapevole del fatto che il mio corpo fosse diverso dal corpo virtuale (ownership),..non ero consapevole del fatto che il mio corpo fosse diverso dal corpo virtuale (ownership),"
..sentivo come se avessi più di un corpo (ownership)

","
..sentivo come se avessi più di un corpo (ownership)

",..sentivo me stesso in qualche modo connesso con il corpo virtuale (ownership),..sentivo me stesso in qualche modo connesso con il corpo virtuale (ownership),..sentivo come se il mio corpo stesse cambiando per prendere la forma del corpo virtuale (ownership),..sentivo come se il mio corpo stesse cambiando per prendere la forma del corpo virtuale (ownership),..avevo la sensazione che il corpo virtuale appartenesse a me(ownership),..avevo la sensazione che il corpo virtuale appartenesse a me(ownership),..avevo la sensazione che io e il corpo virtuale fossimo la stessa cosa (ownership),..avevo la sensazione che io e il corpo virtuale fossimo la stessa cosa (ownership),..avevo la sensazione come se stessi sentendo il tocco nel punto in cui il corpo virtuale era stato accarezzato (location),..avevo la sensazione come se stessi sentendo il tocco nel punto in cui il corpo virtuale era stato accarezzato (location),..sembrava che il tocco che avevo sentito fosse posizionato da qualche parte tra il mio corpo ed il corpo virtuale (location),..sembrava che il tocco che avevo sentito fosse posizionato da qualche parte tra il mio corpo ed il corpo virtuale (location),..avevo la sensazione che il tocco che avevo sentito fosse stato causato dal controller mentre toccava il corpo virtuale (location),..avevo la sensazione che il tocco che avevo sentito fosse stato causato dal controller mentre toccava il corpo virtuale (location),..avevo la sensazione di trovarmi nello stesso posto del corpo virtuale (location),..avevo la sensazione di trovarmi nello stesso posto del corpo virtuale (location),"..sentivo di poter muovere il corpo virtuale, se lo avessi voluto (agency)","..sentivo di poter muovere il corpo virtuale, se lo avessi voluto (agency)",..avevo la sensazione di avere il controllo sul corpo virtuale (agency),..avevo la sensazione di avere il controllo sul corpo virtuale (agency),,,,
1,1.71E+12,19/04/2024 12:03:14,1.71E+12,2,19/04/2024 16:03:14,0,0,,,37143464,,10951029,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,0,Embodiment,4,SANMAR94,1st-ASYNC,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,40,1.444444444,1.25,1
1,1.71E+12,19/04/2024 08:35:20,1.71E+12,2,19/04/2024 12:35:20,0,0,,,37139375,,10949680,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,0,Embodiment,4,cecsim01,1st-ASYNC,2,5,5,4,4,5,5,2,2,4,4,5,5,5,5,5,5,3,3,5,5,5,5,5,5,6,6,5,5,5,5,138,4.222222222,5.25,5
1,1.71E+12,17/04/2024 13:56:19,1.71E+12,2,17/04/2024 17:56:19,0,0,,,37090673,,10938006,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1829x828,,,0,Embodiment,4,LUCEST03,1st-ASYNC,2,5,5,4,4,5,5,3,3,4,4,5,5,3,3,4,4,4,4,3,3,5,5,6,6,6,6,5,5,5,5,134,4.111111111,5,5
1,1.71E+12,17/04/2024 12:27:52,1.71E+12,2,17/04/2024 16:27:52,0,0,,,37086847,,10936816,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,0,Embodiment,4,sajele87,1st-ASYNC,2,5,5,5,5,4,4,4,4,3,3,6,6,2,2,5,5,4,4,4,4,5,5,4,4,5,5,3,3,3,3,124,4.222222222,4.5,3
1,1.71E+12,16/04/2024 15:42:00,1.71E+12,2,16/04/2024 19:42:00,0,0,,,37062970,,10929981,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,0,Embodiment,4,gemand97,1st-ASYNC,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,7,7,1,1,1,1,1,1,50,1,3.5,1
1,1.71E+12,29/04/2024 08:30:16,1.71E+12,2,29/04/2024 12:30:16,0,0,,,37320414,,11005513,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,marreb02,1st-ASYNC,2,5,5,6,6,3,3,2,2,4,4,5,5,2,2,5,5,6,6,6,6,3,3,5,5,5,5,2,2,2,2,122,4.222222222,4.75,2
1,1.71E+12,29/04/2024 09:55:32,1.71E+12,2,29/04/2024 13:55:32,0,0,,,37322440,,11006091,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,maggiu98,1st-ASYNC,2,4,4,5,5,3,3,2,2,5,5,5,5,3,3,5,5,3,3,2,2,4,4,4,4,5,5,3,3,3,3,112,3.888888889,3.75,3
1,1.71E+12,30/04/2024 12:54:59,1.71E+12,2,30/04/2024 16:54:59,0,0,,,37355828,,11016564,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,fraant00,1st-ASYNC,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,40,1.111111111,2,1
1,1.71E+12,2/5/2024 11:25,1.71E+12,2,2/5/2024 15:25,0,0,,,37404232,,11030501,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,morgai02,1st-ASYNC,2,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,7,7,3,3,2,2,4,4,62,1.444444444,3,3
