Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,ID,CONDITION object-21 Response,CONDITION object-21 Quantised,1 object-6 Response,1 object-6 Quantised,2 object-7 Response,2 object-7 Quantised,3 object-8 Response,3 object-8 Quantised,4 object-9 Response,4 object-9 Quantised,5 object-10 Response,5 object-10 Quantised,6 object-11 Response,6 object-11 Quantised,7 object-12 Response,7 object-12 Quantised,8 object-13 Response,8 object-13 Quantised,9 object-14 Response,9 object-14 Quantised,10 object-15 Response,10 object-15 Quantised,11 object-16 Response,11 object-16 Quantised,12 object-17 Response,12 object-17 Quantised,13 object-18 Response,13 object-18 Quantised,14 object-19 Response,14 object-19 Quantised,15 object-20 Response,15 object-20 Quantised,total,1Sownership,1Slocation,1Sagency
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ID (tre prime lettere del tuo cognome, tre prime lettere del tuo nome e gli ultimi due numeri del tuo anno di nascita es. Giulia Brizzi 1997 → brigiu97):",CONDITION,CONDITION,..ho sentito come se il corpo virtuale fosse il mio corpo (ownership),..ho sentito come se il corpo virtuale fosse il mio corpo (ownership),..avevo la sensazione che stessi guardando me stesso (ownership),..avevo la sensazione che stessi guardando me stesso (ownership),..ho esperito che gamba del corpo virtuale come parte di me stesso (ownership),..ho esperito che gamba del corpo virtuale come parte di me stesso (ownership),..non ero consapevole del fatto che il mio corpo fosse diverso dal corpo virtuale (ownership),..non ero consapevole del fatto che il mio corpo fosse diverso dal corpo virtuale (ownership),"
..sentivo come se avessi più di un corpo (ownership)

","
..sentivo come se avessi più di un corpo (ownership)

",..sentivo me stesso in qualche modo connesso con il corpo virtuale (ownership),..sentivo me stesso in qualche modo connesso con il corpo virtuale (ownership),..sentivo come se il mio corpo stesse cambiando per prendere la forma del corpo virtuale (ownership),..sentivo come se il mio corpo stesse cambiando per prendere la forma del corpo virtuale (ownership),..avevo la sensazione che il corpo virtuale appartenesse a me(ownership),..avevo la sensazione che il corpo virtuale appartenesse a me(ownership),..avevo la sensazione che io e il corpo virtuale fossimo la stessa cosa (ownership),..avevo la sensazione che io e il corpo virtuale fossimo la stessa cosa (ownership),..avevo la sensazione come se stessi sentendo il tocco nel punto in cui il corpo virtuale era stato accarezzato (location),..avevo la sensazione come se stessi sentendo il tocco nel punto in cui il corpo virtuale era stato accarezzato (location),..sembrava che il tocco che avevo sentito fosse posizionato da qualche parte tra il mio corpo ed il corpo virtuale (location),..sembrava che il tocco che avevo sentito fosse posizionato da qualche parte tra il mio corpo ed il corpo virtuale (location),..avevo la sensazione che il tocco che avevo sentito fosse stato causato dal controller mentre toccava il corpo virtuale (location),..avevo la sensazione che il tocco che avevo sentito fosse stato causato dal controller mentre toccava il corpo virtuale (location),..avevo la sensazione di trovarmi nello stesso posto del corpo virtuale (location),..avevo la sensazione di trovarmi nello stesso posto del corpo virtuale (location),"..sentivo di poter muovere il corpo virtuale, se lo avessi voluto (agency)","..sentivo di poter muovere il corpo virtuale, se lo avessi voluto (agency)",..avevo la sensazione di avere il controllo sul corpo virtuale (agency),..avevo la sensazione di avere il controllo sul corpo virtuale (agency),,,,
1,1.71E+12,19/04/2024 11:57:57,1.71E+12,2,19/04/2024 15:57:57,0,0,,,37143367,,10951001,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,0,Embodiment,4,SANMAR94,1st-SYNC,1,4,4,4,4,4,4,1,1,1,1,3,3,1,1,3,3,2,2,6,6,4,4,6,6,2,2,1,1,1,1,86,2.555555556,4.5,1
1,1.71E+12,19/04/2024 08:41:18,1.71E+12,2,19/04/2024 12:41:18,0,0,,,37139544,,10949721,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,0,Embodiment,4,cecsim01,1st-SYNC,1,4,4,5,5,5,5,4,4,3,3,5,5,3,3,5,5,6,6,5,5,5,5,5,5,5,5,4,4,4,4,136,4.444444444,5,4
1,1.71E+12,17/04/2024 13:50:01,1.71E+12,2,17/04/2024 17:50:01,0,0,,,37090449,,10937937,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1829x828,,,0,Embodiment,4,LUCEST03,1st-SYNC,1,4,4,4,4,4,4,4,4,3,3,5,5,3,3,4,4,4,4,6,6,6,6,6,6,6,6,5,5,5,5,138,3.888888889,6,5
1,1.71E+12,17/04/2024 12:31:46,1.71E+12,2,17/04/2024 16:31:46,0,0,,,37087033,,10936881,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,0,Embodiment,4,sajele87,1st-SYNC,1,5,5,5,5,3,3,3,3,4,4,6,6,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,132,4.444444444,5,3
1,1.71E+12,16/04/2024 15:36:44,1.71E+12,2,16/04/2024 19:36:44,0,0,,,37062772,,10929930,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,0,Embodiment,4,gemand97,1st-SYNC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,3,3,1,1,1,1,1,1,58,1,4.5,1
1,1.71E+12,29/04/2024 08:17:15,1.71E+12,2,29/04/2024 12:17:15,0,0,,,37320134,,11005411,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,marreb02,1st-SYNC,1,3,3,5,5,2,2,2,2,5,5,3,3,2,2,2,2,1,1,4,4,3,3,2,2,2,2,3,3,4,4,86,2.777777778,2.75,3.5
1,1.71E+12,29/04/2024 09:51:40,1.71E+12,2,29/04/2024 13:51:40,0,0,,,37322388,,11006077,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,maggiu98,1st-SYNC,1,4,4,5,5,4,4,3,3,5,5,6,6,4,4,5,5,3,3,4,4,5,5,6,6,5,5,3,3,3,3,130,4.333333333,5,3
1,1.71E+12,30/04/2024 12:43:25,1.71E+12,2,30/04/2024 16:43:25,0,0,,,37355233,,11016440,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,fraant00,1st-SYNC,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,5,5,2,2,2,2,6,6,1,1,1,1,58,1.333333333,3.75,1
1,1.71E+12,2/5/2024 11:12,1.71E+12,2,2/5/2024 15:12,0,0,,,37403603,,11030344,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,morgai02,1st-SYNC,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,7,7,1,1,3,3,3,3,60,1.444444444,2.75,3
1,1.71E+12,3/5/2024 10:32,1.71E+12,2,3/5/2024 14:32,0,0,,,37432631,,11037632,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1626x736,,,0,Embodiment,4,fedgio01,1st-SYNC,1,4,4,1,1,2,2,1,1,1,1,4,4,1,1,1,1,3,3,7,7,1,1,5,5,5,5,1,1,1,1,76,2,4.5,1
1,1.71E+12,3/5/2024 13:30,1.71E+12,2,3/5/2024 17:30,0,0,,,37437221,,11038723,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,viaemm03,1st-SYNC,1,2,2,4,4,2,2,2,2,2,2,7,7,2,2,6,6,6,6,4,4,2,2,5,5,5,5,7,7,6,6,124,3.666666667,4,6.5
1,1.71E+12,6/5/2024 9:35,1.72E+12,2,6/5/2024 13:35,0,0,,,37492655,,11050991,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,WUPAN1998,1st-SYNC,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,3,3,2,2,2,2,1,1,3,3,2,2,1,1,48,1.444444444,2,1.5
1,1.72E+12,6/5/2024 15:46,1.72E+12,2,6/5/2024 19:46,0,0,,,37501552,,11053083,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,pupchi97,1st-SYNC,1,5,5,5,5,3,3,1,1,3,3,5,5,3,3,2,2,2,2,6,6,1,1,1,1,2,2,1,1,1,1,82,3.222222222,2.5,1
1,1.72E+12,6/5/2024 15:46,1.72E+12,2,6/5/2024 19:46,0,0,,,37501552,,11053083,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,Srivar94,1st-SYNC,1,3,3,2,2,1,1,1,1,2,2,3,3,2,2,1,1,1,1,2,2,6,6,2,2,5,5,2,2,2,2,70,1.777777778,3.75,2
1,1.72E+12,11/5/2024 12:42,1.72E+12,2,11/5/2024 16:42,0,0,,,37606467,,11081588,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,HaiJaw96,1st-SYNC,1,2,2,1,1,1,1,1,1,4,4,4,4,1,1,2,2,1,1,6,6,5,5,7,7,4,4,2,2,1,1,84,1.888888889,5.5,1.5
1,1.72E+12,11/5/2024 13:48,1.72E+12,2,11/5/2024 17:48,0,0,,,37606980,,11081704,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,0,Embodiment,4,rahsha99,1st-SYNC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,32,1,1.25,1
