Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1715450941973,11/05/2024 18:09:01,1715450942663,2,11/05/2024 20:09:02,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1715450951709,11/05/2024 18:09:11,1715450952431,2,11/05/2024 20:09:12,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,9711.29999999702,,Enter Key,haijal99,1,0,1,0,,,,,,ID,,,,
3,1715450979021,11/05/2024 18:09:39,1715450979756,2,11/05/2024 20:09:39,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,27274.79999999702,,,1,1,0,1,0,,,,,,istruzioni,,,,
4,1715450984008,11/05/2024 18:09:44,1715450984735,2,11/05/2024 20:09:44,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.399999999994,,,,,0,1,0,,,,,,istruzioni,,,,
5,1715450985257,11/05/2024 18:09:45,1715450986002,2,11/05/2024 20:09:46,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,1,Screen 1,advancementZone,content_audio,1243.1000000089407,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
6,1715450985524,11/05/2024 18:09:45,1715450986238,2,11/05/2024 20:09:46,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,2,Screen 2,Zone1,timelimit_screen,233.09999999999854,,,,,0,1,0,,,1,,1,bimodal_230,2,beep.wav,1.png,bimodal
7,1715450985618,11/05/2024 18:09:45,1715450986361,2,11/05/2024 20:09:46,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,3,Screen 3,advancementZone,content_audio,100.09999999403954,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
8,1715450986756,11/05/2024 18:09:46,1715450987497,2,11/05/2024 20:09:47,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,4,Screen 4,Zone1,response_keyboard,1125.2999999970198,,,2,1,1,0,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
9,1715450991738,11/05/2024 18:09:51,1715450992482,2,11/05/2024 20:09:52,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,5,Screen 5,fixation,fixation,4999.5999999999985,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
10,1715450991883,11/05/2024 18:09:51,1715450992622,2,11/05/2024 20:09:52,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,21,1,1,Screen 1,Zone1,content_audio,93.3999999910593,,,,,0,1,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
11,1715450992032,11/05/2024 18:09:52,1715450992765,2,11/05/2024 20:09:52,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,21,1,2,Screen 2,Zone1,timelimit_screen,149.8000000000029,,,,,0,1,0,,,1,,1,sifi_150_d,1,beep.wav,1.png,SiFI
12,1715450992120,11/05/2024 18:09:52,1715450992863,2,11/05/2024 20:09:52,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,21,1,3,Screen 3,Zone1,content_audio,86.40000000596046,,,,,0,1,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
13,1715450992773,11/05/2024 18:09:52,1715450993516,2,11/05/2024 20:09:53,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,21,1,4,Screen 4,Zone1,response_keyboard,641.2999999970198,,,1,1,1,0,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
14,1715450997781,11/05/2024 18:09:57,1715450998515,2,11/05/2024 20:09:58,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,21,1,5,Screen 5,fixation,fixation,4999.899999999994,,,,,0,1,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
15,1715450998191,11/05/2024 18:09:58,1715450998623,2,11/05/2024 20:09:58,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,86,1,1,Screen 1,advancementZone,content_audio,87,,,,,0,1,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
16,1715450998584,11/05/2024 18:09:58,1715450999315,2,11/05/2024 20:09:59,0,0,,,37608424,,11082153,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1330x602,,,,SiFI,2,Spreadsheet1,Spreadsheet1,86,1,2,Screen 2,Zone1,response_keyboard,682.8000000119209,,,1,1,1,0,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
