Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1713355639044,17/04/2024 12:07:19,1713355640582,2,17/04/2024 14:07:20,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1713355645778,17/04/2024 12:07:25,1713355647388,2,17/04/2024 14:07:27,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,6703.0999999996275,,Enter Key,sajele87,1,0,1,0,,,,,,ID,,,,
3,1713355775638,17/04/2024 12:09:35,1713355777256,2,17/04/2024 14:09:37,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,129802.5,,,1,1,0,1,0,,,,,,istruzioni,,,,
4,1713355780638,17/04/2024 12:09:40,1713355782245,2,17/04/2024 14:09:42,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,,istruzioni,,,,
5,1713355781838,17/04/2024 12:09:41,1713355783461,2,17/04/2024 14:09:43,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,1,Screen 1,advancementZone,content_audio,1188.699999999255,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
6,1713355782082,17/04/2024 12:09:42,1713355783692,2,17/04/2024 14:09:43,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,2,Screen 2,Zone1,timelimit_screen,233.29999999998836,,,,,0,1,0,,,1,,1,bimodal_230,2,beep.wav,1.png,bimodal
7,1713355782179,17/04/2024 12:09:42,1713355783800,2,17/04/2024 14:09:43,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,3,Screen 3,advancementZone,content_audio,99.40000000037253,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
8,1713355783481,17/04/2024 12:09:43,1713355785104,2,17/04/2024 14:09:45,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,4,Screen 4,Zone1,response_keyboard,1297.5,,,2,1,1,0,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
9,1713355788476,17/04/2024 12:09:48,1713355790092,2,17/04/2024 14:09:50,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,30,1,5,Screen 5,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
10,1713355788565,17/04/2024 12:09:48,1713355790192,2,17/04/2024 14:09:50,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,55,1,1,Screen 1,advancementZone,timelimit_screen,100.10000000000582,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
11,1713355788630,17/04/2024 12:09:48,1713355790259,2,17/04/2024 14:09:50,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,55,1,2,Screen 2,Zone1,timelimit_screen,66.60000000000582,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
12,1713355788739,17/04/2024 12:09:48,1713355790359,2,17/04/2024 14:09:50,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,55,1,3,Screen 3,advancementZone,timelimit_screen,100.09999999997672,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
13,1713355789559,17/04/2024 12:09:49,1713355791184,2,17/04/2024 14:09:51,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,55,1,4,Screen 4,Zone1,response_keyboard,819.9000000003725,,,2,1,1,0,0,,,,,1,flash_70,2,,1.png,unimodal_visual
14,1713355794559,17/04/2024 12:09:54,1713355796174,2,17/04/2024 14:09:56,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,55,1,5,Screen 5,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,1,flash_70,2,,1.png,unimodal_visual
15,1713355794636,17/04/2024 12:09:54,1713355796252,2,17/04/2024 14:09:56,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,25,1,1,Screen 1,Zone1,content_audio,60.399999998509884,,,,,0,1,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
16,1713355794772,17/04/2024 12:09:54,1713355796391,2,17/04/2024 14:09:56,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,25,1,2,Screen 2,Zone1,timelimit_screen,149.89999999999418,,,,,0,1,0,,,1,,1,sifi_150_d,1,beep.wav,1.png,SiFI
17,1713355794877,17/04/2024 12:09:54,1713355796494,2,17/04/2024 14:09:56,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,25,1,3,Screen 3,Zone1,content_audio,96.89999999850988,,,,,0,1,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
18,1713355795364,17/04/2024 12:09:55,1713355796995,2,17/04/2024 14:09:56,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,25,1,4,Screen 4,Zone1,response_keyboard,491.2999999988824,,,2,1,0,1,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
19,1713355800369,17/04/2024 12:10:00,1713355801991,2,17/04/2024 14:10:01,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,25,1,5,Screen 5,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,1,sifi_150_d,1,beep.wav,1.png,SiFI
20,1713355800467,17/04/2024 12:10:00,1713355802092,2,17/04/2024 14:10:02,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,1,Screen 1,Zone1,content_audio,84.40000000037253,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
21,1713355800574,17/04/2024 12:10:00,1713355802158,2,17/04/2024 14:10:02,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,2,Screen 2,Zone1,timelimit_screen,66.89999999999418,,,,,0,1,0,,,1,,1,sifi_70_d,1,beep.wav,1.png,SiFI
22,1713355800646,17/04/2024 12:10:00,1713355802252,2,17/04/2024 14:10:02,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,3,Screen 3,Zone1,content_audio,89.90000000037253,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
23,1713355801173,17/04/2024 12:10:01,1713355802800,2,17/04/2024 14:10:02,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,4,Screen 4,Zone1,response_keyboard,542,,,2,1,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
24,1713355806167,17/04/2024 12:10:06,1713355807790,2,17/04/2024 14:10:07,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,23,1,5,Screen 5,fixation,fixation,4999.6999999999825,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
25,1713355806294,17/04/2024 12:10:06,1713355807913,2,17/04/2024 14:10:07,0,0,,,37085994,,10936512,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1951x883,,,,SiFI,2,Spreadsheet1,Spreadsheet1,37,1,1,Screen 1,advancementZone,content_audio,98.59999999962747,,,,,0,1,0,,,,,1,bimodal_150,2,beep.wav,1.png,bimodal
