Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1715090902591,07/05/2024 14:08:22,1715090901523,2,07/05/2024 16:08:21,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,
2,1715090911521,07/05/2024 14:08:31,1715090910480,2,07/05/2024 16:08:30,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,8893.300000011921,,Screen End,Srivar94,,0,1,0,,,,,,ID,,,,
3,1715090911910,07/05/2024 14:08:31,1715090910481,2,07/05/2024 16:08:30,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8893.300000011921,,,,,0,1,0,,,,,,ID,,,,
4,1715090942275,07/05/2024 14:09:02,1715090941252,2,07/05/2024 16:09:01,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,30738.59999999404,,,1,1,0,1,0,,,,,,istruzioni,,,,
5,1715090947278,07/05/2024 14:09:07,1715090946248,2,07/05/2024 16:09:06,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.5,,,,,0,1,0,,,,,,istruzioni,,,,
6,1715090948595,07/05/2024 14:09:08,1715090947570,2,07/05/2024 16:09:07,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,42,1,1,Screen 1,advancementZone,content_audio,1267.9000000059605,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
7,1715090948834,07/05/2024 14:09:08,1715090947793,2,07/05/2024 16:09:07,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,42,1,2,Screen 2,Zone1,timelimit_screen,233.5,,,,,0,1,0,,,1,,1,bimodal_230,2,beep.wav,1.png,bimodal
8,1715090948950,07/05/2024 14:09:08,1715090947929,2,07/05/2024 16:09:07,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,42,1,3,Screen 3,advancementZone,content_audio,107.09999999403954,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
9,1715090951232,07/05/2024 14:09:11,1715090950207,2,07/05/2024 16:09:10,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,42,1,4,Screen 4,Zone1,response_keyboard,2270.5,,,2,1,1,0,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
10,1715090956243,07/05/2024 14:09:16,1715090955192,2,07/05/2024 16:09:15,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,42,1,5,Screen 5,fixation,fixation,4999.799999999996,,,,,0,1,0,,,,,1,bimodal_230,2,beep.wav,1.png,bimodal
11,1715090956363,07/05/2024 14:09:16,1715090955331,2,07/05/2024 16:09:15,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,26,1,1,Screen 1,Zone1,content_audio,99.40000000596046,,,,,0,1,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
12,1715090956596,07/05/2024 14:09:16,1715090955561,2,07/05/2024 16:09:15,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,26,1,2,Screen 2,Zone1,timelimit_screen,233.29999999999563,,,,,0,1,0,,,1,,1,sifi_230_d,1,beep.wav,1.png,SiFI
13,1715090956687,07/05/2024 14:09:16,1715090955668,2,07/05/2024 16:09:15,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,26,1,3,Screen 3,Zone1,content_audio,87.8999999910593,,,,,0,1,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
14,1715090959276,07/05/2024 14:09:19,1715090958250,2,07/05/2024 16:09:18,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,26,1,4,Screen 4,Zone1,response_keyboard,2576,,,1,1,1,0,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
15,1715090964266,07/05/2024 14:09:24,1715090963242,2,07/05/2024 16:09:23,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,26,1,5,Screen 5,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,1,sifi_230_d,1,beep.wav,1.png,SiFI
16,1715090964358,07/05/2024 14:09:24,1715090963341,2,07/05/2024 16:09:23,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,51,1,1,Screen 1,advancementZone,timelimit_screen,99.80000000000291,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
17,1715090964438,07/05/2024 14:09:24,1715090963409,2,07/05/2024 16:09:23,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,51,1,2,Screen 2,Zone1,timelimit_screen,66.59999999999854,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
18,1715090964526,07/05/2024 14:09:24,1715090963510,2,07/05/2024 16:09:23,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,51,1,3,Screen 3,advancementZone,timelimit_screen,100.19999999999709,,,,,0,1,0,,,1,,1,flash_70,2,,1.png,unimodal_visual
19,1715090966202,07/05/2024 14:09:26,1715090965181,2,07/05/2024 16:09:25,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,51,1,4,Screen 4,Zone1,response_keyboard,1659.5,,,2,1,1,0,0,,,,,1,flash_70,2,,1.png,unimodal_visual
20,1715090971193,07/05/2024 14:09:31,1715090970175,2,07/05/2024 16:09:30,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,51,1,5,Screen 5,fixation,fixation,4999.699999999997,,,,,0,1,0,,,,,1,flash_70,2,,1.png,unimodal_visual
21,1715090971303,07/05/2024 14:09:31,1715090970277,2,07/05/2024 16:09:30,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,19,1,1,Screen 1,Zone1,content_audio,66.90000000596046,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
22,1715090971356,07/05/2024 14:09:31,1715090970325,2,07/05/2024 16:09:30,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,19,1,2,Screen 2,Zone1,timelimit_screen,66.60000000000582,,,,,0,1,0,,,1,,1,sifi_70_d,1,beep.wav,1.png,SiFI
23,1715090971441,07/05/2024 14:09:31,1715090970416,2,07/05/2024 16:09:30,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,19,1,3,Screen 3,Zone1,content_audio,85.40000000596046,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
24,1715090973361,07/05/2024 14:09:33,1715090972346,2,07/05/2024 16:09:32,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,19,1,4,Screen 4,Zone1,response_keyboard,1916.5,,,2,1,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
25,1715090978363,07/05/2024 14:09:38,1715090977341,2,07/05/2024 16:09:37,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,19,1,5,Screen 5,fixation,fixation,4999.600000000006,,,,,0,1,0,,,,,1,sifi_70_d,1,beep.wav,1.png,SiFI
26,1715090978457,07/05/2024 14:09:38,1715090977441,2,07/05/2024 16:09:37,0,0,,,37527426,,11059602,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1463x823,1463x662,,,,SiFI,2,Spreadsheet1,Spreadsheet1,58,1,1,Screen 1,advancementZone,timelimit_screen,99.89999999999418,,,,,0,1,0,,,1,,1,flash_230,2,,1.png,unimodal_visual
