Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,suono,flash,type
1,1.71328E+12,16/04/2024 15:18:56,1.71328E+12,2,16/04/2024 17:18:57,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,,,BEGIN TASK,,,,,,,,gemand97,,0,1,0,,,,,,,,,,
2,1.71328E+12,16/04/2024 15:19:04,1.71328E+12,2,16/04/2024 17:19:05,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,response_text_entry,7947.1,,Screen End,gemand97,,0,1,0,,,,,,ID,,,,
3,1.71328E+12,16/04/2024 15:19:04,1.71328E+12,2,16/04/2024 17:19:05,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7947.1,,,gemand97,,0,1,0,,,,,,ID,,,,
4,1.71328E+12,16/04/2024 15:19:52,1.71328E+12,2,16/04/2024 17:19:53,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,response_keyboard_single,48509.3,,,gemand97,1,0,1,0,,,,,,istruzioni,,,,
5,1.71328E+12,16/04/2024 15:19:57,1.71328E+12,2,16/04/2024 17:19:58,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,2,1,2,Screen 2,fixation,fixation,4999.5,,,gemand97,,0,1,0,,,,,,istruzioni,,,,
6,1.71328E+12,16/04/2024 15:19:58,1.71328E+12,2,16/04/2024 17:19:59,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,1,1,Screen 1,advancementZone,content_audio,598.7,,,gemand97,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
7,1.71328E+12,16/04/2024 15:19:58,1.71328E+12,2,16/04/2024 17:19:59,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,1,2,Screen 2,Zone1,timelimit_screen,116.8,,,gemand97,,0,1,0,,,1,,1,bimodal_110,2,beep.wav,1.png,bimodal
8,1.71328E+12,16/04/2024 15:19:58,1.71328E+12,2,16/04/2024 17:19:59,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,1,3,Screen 3,advancementZone,content_audio,84.30000001,,,gemand97,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
9,1.71328E+12,16/04/2024 15:19:59,1.71328E+12,2,16/04/2024 17:20:00,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,1,4,Screen 4,Zone1,response_keyboard,1225.4,,,gemand97,1,1,0,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
10,1.71328E+12,16/04/2024 15:20:00,1.71328E+12,2,16/04/2024 17:20:01,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,36,1,5,Screen 5,Zone1,continue_keyboard,970.3,,,gemand97,,0,1,0,,,,,1,bimodal_110,2,beep.wav,1.png,bimodal
11,1.71328E+12,16/04/2024 15:20:00,1.71328E+12,2,16/04/2024 17:20:01,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,84,1,1,Screen 1,advancementZone,content_audio,63.5,,,gemand97,,0,1,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
12,1.71328E+12,16/04/2024 15:20:02,1.71328E+12,2,16/04/2024 17:20:03,0,0,,,37061884,,10929763,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1463x823,1626x736,,,,SiFI,2,Spreadsheet1,Spreadsheet1,84,1,2,Screen 2,Zone1,response_keyboard,1256.7,,,gemand97,1,1,0,0,,,,,1,single_b,1,beep.wav,1.png,single_bimodal
