ID,SOA,score
gemand97,110,17
gemand97,150,19
gemand97,230,17
gemand97,70,18
sajele87,110,16
sajele87,150,16
sajele87,230,19
sajele87,70,18
LUCEST03,110,13
LUCEST03,150,14
LUCEST03,230,14
LUCEST03,70,14
cecsim01,110,17
cecsim01,150,16
cecsim01,230,18
cecsim01,70,15
SANMAR94,110,17
SANMAR94,150,16
SANMAR94,230,17
SANMAR94,70,15
marreb02,110,15
marreb02,150,19
marreb02,230,16
marreb02,70,16
maggiu98,110,18
maggiu98,150,20
maggiu98,230,20
maggiu98,70,20
fraant00,110,19
fraant00,150,20
fraant00,230,20
fraant00,70,18
morgai02,110,20
morgai02,150,20
morgai02,230,20
morgai02,70,19
fedgio01,110,17
fedgio01,150,19
fedgio01,230,20
fedgio01,70,15
viaemm03,110,15
viaemm03,150,16
viaemm03,230,18
viaemm03,70,16
WUPAN1998,110,19
WUPAN1998,150,18
WUPAN1998,230,19
WUPAN1998,70,16
pupchi97,110,14
pupchi97,150,14
pupchi97,230,14
pupchi97,70,14
Srivar94,110,16
Srivar94,150,17
Srivar94,230,19
Srivar94,70,14
HaiJaw96,110,20
HaiJaw96,150,20
HaiJaw96,230,20
HaiJaw96,70,20
rahsha99,110,20
rahsha99,150,20
rahsha99,230,19
rahsha99,70,20
haijal99,110,16
haijal99,150,14
haijal99,230,15
haijal99,70,13
