"ID","SOA","score","predicted","SOA70","SOA110","SOA150","SOA230","block1","cape_score","Perspective","Stimulus_Type","Measurement","Score","Measurement_ownership","Measurement_agency","Measurement_location","fit","lwr","upr"
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"First Person","Synchronous","ownership",1,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"First Person","Synchronous","location",4.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"First Person","Synchronous","agency",1,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"First Person","Asynchronous","ownership",1,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"First Person","Asynchronous","location",3.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"First Person","Asynchronous","agency",1,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"Third Person","Synchronous","ownership",1,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"Third Person","Synchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"Third Person","Synchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"Third Person","Asynchronous","ownership",1,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"Third Person","Asynchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",110,17,17.4495761700189,0,1,0,0,76,27,"Third Person","Asynchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"First Person","Synchronous","ownership",1,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"First Person","Synchronous","location",4.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"First Person","Synchronous","agency",1,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"First Person","Asynchronous","ownership",1,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"First Person","Asynchronous","location",3.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"First Person","Asynchronous","agency",1,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"Third Person","Synchronous","ownership",1,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"Third Person","Synchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"Third Person","Synchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"Third Person","Asynchronous","ownership",1,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"Third Person","Asynchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",150,19,17.8008366742206,0,0,1,0,76,27,"Third Person","Asynchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"First Person","Synchronous","ownership",1,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"First Person","Synchronous","location",4.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"First Person","Synchronous","agency",1,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"First Person","Asynchronous","ownership",1,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"First Person","Asynchronous","location",3.5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"First Person","Asynchronous","agency",1,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Synchronous","ownership",1,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Synchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Synchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Asynchronous","ownership",1,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Asynchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",230,17,18.5033576826239,0,0,0,1,76,27,"Third Person","Asynchronous","agency",1,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Synchronous","ownership",1,1,0,0,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Synchronous","location",4.5,0,0,1,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Synchronous","agency",1,0,1,0,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Asynchronous","ownership",1,1,0,0,2.83932461870587,2.55472649048186,3.12392274692989
"gemand97",70,18,17.0983156658172,1,0,0,0,76,27,"First Person","Asynchronous","location",3.5,0,0,1,2.83932461870587,2.55472649048186,3.12392274692989
